b1,b2,a1,a2,a6,qf1_01,qf1_02,qf1_03,qf1_04,qf1_05,qf1_06,qf1_07,qf1_08,qf1_09,qf1_10,qf1_11,qf1_12,qf4_01,qf4_05,qf4_06,l1,k1,e2c,e7,e9a,e9b,e1c,e2a,e2e
37,Female,North,Gicumbi,Rural,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,,,Yes,Yes,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
32,Female,Kigali,Nyarugenge,Urban,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
40,Female,Kigali,Gasabo,Rural,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Sometimes,Rarely (less than 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
45,Female,East,Bugesera,Urban,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
36,Female,West,Nyamasheke,Rural,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,,,No,Yes,Always,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
59,Female,North,Musanze,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
41,Female,West,Rutsiro,Urban,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,,,,No,No,Do not save,On a monthly basis,Improved,No,"Yes, have a lot of control over my financial situation",No,None of them
29,Male,South,Kamonyi,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,On a monthly basis,Improved,No,Have control over my financial Situation,Yes,"Yes, most of them"
26,Female,East,Bugesera,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,Rarely (less than 2 months),Improved,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
55,Female,West,Nyabihu,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,No,Sometimes,On a monthly basis,Worsened,Yes,"Yes, have a lot of control over my financial situation",Yes,Seldom
76,Female,East,Rwamagana,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
36,Male,East,Bugesera,Urban,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Sometimes,Never,Improved,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
22,Male,North,Musanze,Urban,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,Yes,Yes,No,No,Do not save,On a monthly basis,Remained the same,No,Have scarce control over my financial situation,No,Seldom
30,Male,South,Nyanza,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,Rarely (less than 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
33,Female,South,Gisagara,Rural,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,On a monthly basis,Worsened,Yes,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
35,Female,East,Nyagatare,Rural,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Sometimes,Someties (more than 2 months past 2 months),Improved,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
44,Female,West,Ngororero,Rural,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,Yes,No,Do not save,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
55,Female,South,Nyamagabe,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Always,On a monthly basis,Remained the same,No,Have control over my financial Situation,No,Seldom
50,Female,West,Rusizi,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,No,Yes,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
17,Male,South,Kamonyi,Rural,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
51,Female,South,Gisagara,Rural,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,,,Yes,Yes,No,Sometimes,Rarely (less than 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Yes all
52,Male,Kigali,Gasabo,Rural,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,,Yes,No,Yes,Always,Never,Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
26,Female,North,Burera,Urban,No,No,No,No,No,Yes,No,No,No,No,No,No,,,No,Yes,No,Always,On a monthly basis,Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
57,Male,West,Rusizi,Urban,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Sometimes,On a monthly basis,Improved,No,"Yes, have a lot of control over my financial situation",No,Some of them
40,Female,Kigali,Gasabo,Urban,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Always,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
27,Male,Kigali,Nyarugenge,Urban,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,,No,Yes,Sometimes,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
41,Female,East,Rwamagana,Urban,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Do not save,On a monthly basis,Remained the same,No,Have no control over my financial situation,No,None of them
20,Female,North,Gakenke,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Always,Never,Remained the same,Yes,Have no control over my financial situation,Yes,"Yes, most of them"
54,Male,East,Nyagatare,Rural,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,,No,Yes,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",No,"Yes, most of them"
76,Male,North,Burera,Rural,No,No,No,No,No,Yes,No,No,No,No,No,No,,,No,Yes,No,Always,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Some of them
40,Female,Kigali,Gasabo,Rural,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Always,Rarely (less than 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",No,Some of them
