geo,geo_type,province,residence,sex,value
Kayonza,District,Eastern Province,Rwanda,Female,6.8
Kayonza,District,Eastern Province,Urban,Male,3.6
Kayonza,District,Eastern Province,Urban,Female,5.5
Kayonza,District,Eastern Province,Rural,Male,5.6
Kayonza,District,Eastern Province,Rural,Female,7.0
Kirehe,District,Eastern Province,Rwanda,Male,5.6
Kirehe,District,Eastern Province,Rwanda,Female,7.1
Kirehe,District,Eastern Province,Urban,Male,4.8
Kirehe,District,Eastern Province,Urban,Female,6.1
Kirehe,District,Eastern Province,Rural,Male,5.7
Kirehe,District,Eastern Province,Rural,Female,7.1
Ngoma,District,Eastern Province,Rwanda,Male,6.0
Ngoma,District,Eastern Province,Rwanda,Female,7.9
Ngoma,District,Eastern Province,Urban,Male,5.3
Ngoma,District,Eastern Province,Urban,Female,7.0
Ngoma,District,Eastern Province,Rural,Male,6.1
Ngoma,District,Eastern Province,Rural,Female,7.9
Bugesera,District,Eastern Province,Rwanda,Male,4.8
Bugesera,District,Eastern Province,Rwanda,Female,6.3
Bugesera,District,Eastern Province,Urban,Male,4.4
Bugesera,District,Eastern Province,Urban,Female,5.1
Bugesera,District,Eastern Province,Rural,Male,5.0
Bugesera,District,Eastern Province,Rural,Female,7.2
