indicator,geo,geo_type,province,residence,sex,value
School attendance 13-18 (%),Muhanga,District,Southern Province,Urban,Male,75.5
School attendance 13-18 (%),Muhanga,District,Southern Province,Urban,Female,68.3
School attendance 13-18 (%),Muhanga,District,Southern Province,Rural,Both sexes,67.1
School attendance 13-18 (%),Muhanga,District,Southern Province,Rural,Male,61.1
School attendance 13-18 (%),Muhanga,District,Southern Province,Rural,Female,73.4
School attendance 13-18 (%),Kamonyi,District,Southern Province,Rwanda,Both sexes,68.8
School attendance 13-18 (%),Kamonyi,District,Southern Province,Rwanda,Male,64.4
School attendance 13-18 (%),Kamonyi,District,Southern Province,Rwanda,Female,73.2
School attendance 13-18 (%),Kamonyi,District,Southern Province,Urban,Both sexes,70.2
School attendance 13-18 (%),Kamonyi,District,Southern Province,Urban,Male,69.5
School attendance 13-18 (%),Kamonyi,District,Southern Province,Urban,Female,70.8
School attendance 13-18 (%),Kamonyi,District,Southern Province,Rural,Both sexes,68.2
School attendance 13-18 (%),Kamonyi,District,Southern Province,Rural,Male,62.4
School attendance 13-18 (%),Kamonyi,District,Southern Province,Rural,Female,74.2
School attendance 13-18 (%),Western Province,Province,Western Province,Rwanda,Both sexes,65.3
School attendance 13-18 (%),Western Province,Province,Western Province,Rwanda,Male,63.3
School attendance 13-18 (%),Western Province,Province,Western Province,Rwanda,Female,67.3
School attendance 13-18 (%),Western Province,Province,Western Province,Urban,Both sexes,71.4
School attendance 13-18 (%),Western Province,Province,Western Province,Urban,Male,71.7
School attendance 13-18 (%),Western Province,Province,Western Province,Urban,Female,71.0
School attendance 13-18 (%),Western Province,Province,Western Province,Rural,Both sexes,63.7
School attendance 13-18 (%),Western Province,Province,Western Province,Rural,Male,61.1
School attendance 13-18 (%),Western Province,Province,Western Province,Rural,Female,66.2
School attendance 13-18 (%),Karongi,District,Western Province,Rwanda,Both sexes,70.4
School attendance 13-18 (%),Karongi,District,Western Province,Rwanda,Male,67.3
