indicator,geo,geo_type,province,residence,sex,value
Youth share of population (%),Rutsiro,District,Western Province,Rwanda,Male,27.8
Youth share of population (%),Rutsiro,District,Western Province,Rwanda,Female,26.2
Youth share of population (%),Rutsiro,District,Western Province,Urban,Both sexes,27.4
Youth share of population (%),Rutsiro,District,Western Province,Urban,Male,27.5
Youth share of population (%),Rutsiro,District,Western Province,Urban,Female,27.2
Youth share of population (%),Rutsiro,District,Western Province,Rural,Both sexes,27.0
Youth share of population (%),Rutsiro,District,Western Province,Rural,Male,27.8
Youth share of population (%),Rutsiro,District,Western Province,Rural,Female,26.2
Youth share of population (%),Rubavu,District,Western Province,Rwanda,Both sexes,28.1
Youth share of population (%),Rubavu,District,Western Province,Rwanda,Male,28.3
Youth share of population (%),Rubavu,District,Western Province,Rwanda,Female,27.9
Youth share of population (%),Rubavu,District,Western Province,Urban,Both sexes,29.1
Youth share of population (%),Rubavu,District,Western Province,Urban,Male,28.5
Youth share of population (%),Rubavu,District,Western Province,Urban,Female,29.6
Youth share of population (%),Rubavu,District,Western Province,Rural,Both sexes,26.9
Youth share of population (%),Rubavu,District,Western Province,Rural,Male,28.1
Youth share of population (%),Rubavu,District,Western Province,Rural,Female,25.8
Youth share of population (%),Nyabihu,District,Western Province,Rwanda,Both sexes,28.1
Youth share of population (%),Nyabihu,District,Western Province,Rwanda,Male,28.6
Youth share of population (%),Nyabihu,District,Western Province,Rwanda,Female,27.6
Youth share of population (%),Nyabihu,District,Western Province,Urban,Both sexes,29.1
Youth share of population (%),Nyabihu,District,Western Province,Urban,Male,29.0
Youth share of population (%),Nyabihu,District,Western Province,Urban,Female,29.2
Youth share of population (%),Nyabihu,District,Western Province,Rural,Both sexes,27.8
Youth share of population (%),Nyabihu,District,Western Province,Rural,Male,28.5
Youth share of population (%),Nyabihu,District,Western Province,Rural,Female,27.1
Youth share of population (%),Ngororero,District,Western Province,Rwanda,Both sexes,25.2
Youth share of population (%),Ngororero,District,Western Province,Rwanda,Male,25.5
Youth share of population (%),Ngororero,District,Western Province,Rwanda,Female,24.8
Youth share of population (%),Ngororero,District,Western Province,Urban,Both sexes,30.0
Youth share of population (%),Ngororero,District,Western Province,Urban,Male,30.0
Youth share of population (%),Ngororero,District,Western Province,Urban,Female,30.1
Youth share of population (%),Ngororero,District,Western Province,Rural,Both sexes,24.9
Youth share of population (%),Ngororero,District,Western Province,Rural,Male,25.3
Youth share of population (%),Ngororero,District,Western Province,Rural,Female,24.6
Youth share of population (%),Rusizi,District,Western Province,Rwanda,Both sexes,25.3
Youth share of population (%),Rusizi,District,Western Province,Rwanda,Male,25.8
Youth share of population (%),Rusizi,District,Western Province,Rwanda,Female,24.8
Youth share of population (%),Rusizi,District,Western Province,Urban,Both sexes,27.3
Youth share of population (%),Rusizi,District,Western Province,Urban,Male,27.8
Youth share of population (%),Rusizi,District,Western Province,Urban,Female,26.9
Youth share of population (%),Rusizi,District,Western Province,Rural,Both sexes,24.3
Youth share of population (%),Rusizi,District,Western Province,Rural,Male,24.7
Youth share of population (%),Rusizi,District,Western Province,Rural,Female,23.8
Youth share of population (%),Nyamasheke,District,Western Province,Rwanda,Both sexes,24.1
Youth share of population (%),Nyamasheke,District,Western Province,Rwanda,Male,24.4
Youth share of population (%),Nyamasheke,District,Western Province,Rwanda,Female,23.8
Youth share of population (%),Nyamasheke,District,Western Province,Urban,Both sexes,25.5
Youth share of population (%),Nyamasheke,District,Western Province,Urban,Male,24.7
Youth share of population (%),Nyamasheke,District,Western Province,Urban,Female,26.2
Youth share of population (%),Nyamasheke,District,Western Province,Rural,Both sexes,24.0
Youth share of population (%),Nyamasheke,District,Western Province,Rural,Male,24.4
Youth share of population (%),Nyamasheke,District,Western Province,Rural,Female,23.6
Youth share of population (%),Northern Province,Province,Northern Province,Rwanda,Both sexes,27.7
Youth share of population (%),Northern Province,Province,Northern Province,Rwanda,Male,28.2
Youth share of population (%),Northern Province,Province,Northern Province,Rwanda,Female,27.2
Youth share of population (%),Northern Province,Province,Northern Province,Urban,Both sexes,30.5
Youth share of population (%),Northern Province,Province,Northern Province,Urban,Male,30.1
Youth share of population (%),Northern Province,Province,Northern Province,Urban,Female,30.9
Youth share of population (%),Northern Province,Province,Northern Province,Rural,Both sexes,27.1
Youth share of population (%),Northern Province,Province,Northern Province,Rural,Male,27.8
Youth share of population (%),Northern Province,Province,Northern Province,Rural,Female,26.5
Youth share of population (%),Rulindo,District,Northern Province,Rwanda,Both sexes,25.7
Youth share of population (%),Rulindo,District,Northern Province,Rwanda,Male,26.3
Youth share of population (%),Rulindo,District,Northern Province,Rwanda,Female,25.3
Youth share of population (%),Rulindo,District,Northern Province,Urban,Both sexes,26.2
Youth share of population (%),Rulindo,District,Northern Province,Urban,Male,24.4
Youth share of population (%),Rulindo,District,Northern Province,Urban,Female,27.9
Youth share of population (%),Rulindo,District,Northern Province,Rural,Both sexes,25.7
Youth share of population (%),Rulindo,District,Northern Province,Rural,Male,26.5
Youth share of population (%),Rulindo,District,Northern Province,Rural,Female,25.0
Youth share of population (%),Gakenke,District,Northern Province,Rwanda,Both sexes,26.0
Youth share of population (%),Gakenke,District,Northern Province,Rwanda,Male,26.5
Youth share of population (%),Gakenke,District,Northern Province,Rwanda,Female,25.6
Youth share of population (%),Gakenke,District,Northern Province,Urban,Both sexes,29.1
Youth share of population (%),Gakenke,District,Northern Province,Urban,Male,28.7
Youth share of population (%),Gakenke,District,Northern Province,Urban,Female,29.5
Youth share of population (%),Gakenke,District,Northern Province,Rural,Both sexes,25.9
Youth share of population (%),Gakenke,District,Northern Province,Rural,Male,26.4
Youth share of population (%),Gakenke,District,Northern Province,Rural,Female,25.4
Youth share of population (%),Musanze,District,Northern Province,Rwanda,Both sexes,29.3
Youth share of population (%),Musanze,District,Northern Province,Rwanda,Male,29.6
Youth share of population (%),Musanze,District,Northern Province,Rwanda,Female,29.0
Youth share of population (%),Musanze,District,Northern Province,Urban,Both sexes,31.3
Youth share of population (%),Musanze,District,Northern Province,Urban,Male,31.0
Youth share of population (%),Musanze,District,Northern Province,Urban,Female,31.7
Youth share of population (%),Musanze,District,Northern Province,Rural,Both sexes,27.3
Youth share of population (%),Musanze,District,Northern Province,Rural,Male,28.2
Youth share of population (%),Musanze,District,Northern Province,Rural,Female,26.5
Youth share of population (%),Burera,District,Northern Province,Rwanda,Both sexes,29.1
Youth share of population (%),Burera,District,Northern Province,Rwanda,Male,29.7
Youth share of population (%),Burera,District,Northern Province,Rwanda,Female,28.5
Youth share of population (%),Burera,District,Northern Province,Urban,Both sexes,30.1
Youth share of population (%),Burera,District,Northern Province,Urban,Male,30.7
Youth share of population (%),Burera,District,Northern Province,Urban,Female,29.7
Youth share of population (%),Burera,District,Northern Province,Rural,Both sexes,29.0
Youth share of population (%),Burera,District,Northern Province,Rural,Male,29.6
Youth share of population (%),Burera,District,Northern Province,Rural,Female,28.3
Youth share of population (%),Gicumbi,District,Northern Province,Rwanda,Both sexes,27.7
Youth share of population (%),Gicumbi,District,Northern Province,Rwanda,Male,28.2
Youth share of population (%),Gicumbi,District,Northern Province,Rwanda,Female,27.2
Youth share of population (%),Gicumbi,District,Northern Province,Urban,Both sexes,30.4
Youth share of population (%),Gicumbi,District,Northern Province,Urban,Male,29.8
Youth share of population (%),Gicumbi,District,Northern Province,Urban,Female,30.9
Youth share of population (%),Gicumbi,District,Northern Province,Rural,Both sexes,27.5
Youth share of population (%),Gicumbi,District,Northern Province,Rural,Male,28.1
Youth share of population (%),Gicumbi,District,Northern Province,Rural,Female,26.9
Youth share of population (%),Eastern Province,Province,Eastern Province,Rwanda,Both sexes,26.4
Youth share of population (%),Eastern Province,Province,Eastern Province,Rwanda,Male,26.8
Youth share of population (%),Eastern Province,Province,Eastern Province,Rwanda,Female,26.1
Youth share of population (%),Eastern Province,Province,Eastern Province,Urban,Both sexes,29.4
Youth share of population (%),Eastern Province,Province,Eastern Province,Urban,Male,29.3
Youth share of population (%),Eastern Province,Province,Eastern Province,Urban,Female,29.5
Youth share of population (%),Eastern Province,Province,Eastern Province,Rural,Both sexes,25.7
Youth share of population (%),Eastern Province,Province,Eastern Province,Rural,Male,26.1
Youth share of population (%),Eastern Province,Province,Eastern Province,Rural,Female,25.3
Youth share of population (%),Rwamagana,District,Eastern Province,Rwanda,Both sexes,27.0
Youth share of population (%),Rwamagana,District,Eastern Province,Rwanda,Male,27.6
Youth share of population (%),Rwamagana,District,Eastern Province,Rwanda,Female,26.3
Youth share of population (%),Rwamagana,District,Eastern Province,Urban,Both sexes,30.7
Youth share of population (%),Rwamagana,District,Eastern Province,Urban,Male,31.1
Youth share of population (%),Rwamagana,District,Eastern Province,Urban,Female,30.4
Youth share of population (%),Rwamagana,District,Eastern Province,Rural,Both sexes,24.7
Youth share of population (%),Rwamagana,District,Eastern Province,Rural,Male,25.3
Youth share of population (%),Rwamagana,District,Eastern Province,Rural,Female,24.2
Youth share of population (%),Nyagatare,District,Eastern Province,Rwanda,Both sexes,27.2
Youth share of population (%),Nyagatare,District,Eastern Province,Rwanda,Male,27.6
Youth share of population (%),Nyagatare,District,Eastern Province,Rwanda,Female,26.9
Youth share of population (%),Nyagatare,District,Eastern Province,Urban,Both sexes,28.4
Youth share of population (%),Nyagatare,District,Eastern Province,Urban,Male,28.6
Youth share of population (%),Nyagatare,District,Eastern Province,Urban,Female,28.2
Youth share of population (%),Nyagatare,District,Eastern Province,Rural,Both sexes,26.8
Youth share of population (%),Nyagatare,District,Eastern Province,Rural,Male,27.2
Youth share of population (%),Nyagatare,District,Eastern Province,Rural,Female,26.5
Youth share of population (%),Gatsibo,District,Eastern Province,Rwanda,Both sexes,26.4
Youth share of population (%),Gatsibo,District,Eastern Province,Rwanda,Male,26.9
Youth share of population (%),Gatsibo,District,Eastern Province,Rwanda,Female,25.9
Youth share of population (%),Gatsibo,District,Eastern Province,Urban,Both sexes,29.1
Youth share of population (%),Gatsibo,District,Eastern Province,Urban,Male,29.0
Youth share of population (%),Gatsibo,District,Eastern Province,Urban,Female,29.1
Youth share of population (%),Gatsibo,District,Eastern Province,Rural,Both sexes,26.1
Youth share of population (%),Gatsibo,District,Eastern Province,Rural,Male,26.7
Youth share of population (%),Gatsibo,District,Eastern Province,Rural,Female,25.5
Youth share of population (%),Kayonza,District,Eastern Province,Rwanda,Both sexes,26.4
Youth share of population (%),Kayonza,District,Eastern Province,Rwanda,Male,26.7
Youth share of population (%),Kayonza,District,Eastern Province,Rwanda,Female,26.1
Youth share of population (%),Kayonza,District,Eastern Province,Urban,Both sexes,29.8
Youth share of population (%),Kayonza,District,Eastern Province,Urban,Male,29.0
Youth share of population (%),Kayonza,District,Eastern Province,Urban,Female,30.6
Youth share of population (%),Kayonza,District,Eastern Province,Rural,Both sexes,25.8
Youth share of population (%),Kayonza,District,Eastern Province,Rural,Male,26.3
Youth share of population (%),Kayonza,District,Eastern Province,Rural,Female,25.4
Youth share of population (%),Kirehe,District,Eastern Province,Rwanda,Both sexes,26.7
Youth share of population (%),Kirehe,District,Eastern Province,Rwanda,Male,27.0
Youth share of population (%),Kirehe,District,Eastern Province,Rwanda,Female,26.5
Youth share of population (%),Kirehe,District,Eastern Province,Urban,Both sexes,29.3
Youth share of population (%),Kirehe,District,Eastern Province,Urban,Male,29.1
Youth share of population (%),Kirehe,District,Eastern Province,Urban,Female,29.5
Youth share of population (%),Kirehe,District,Eastern Province,Rural,Both sexes,26.5
Youth share of population (%),Kirehe,District,Eastern Province,Rural,Male,26.8
Youth share of population (%),Kirehe,District,Eastern Province,Rural,Female,26.3
Youth share of population (%),Ngoma,District,Eastern Province,Rwanda,Both sexes,24.7
Youth share of population (%),Ngoma,District,Eastern Province,Rwanda,Male,24.9
Youth share of population (%),Ngoma,District,Eastern Province,Rwanda,Female,24.5
Youth share of population (%),Ngoma,District,Eastern Province,Urban,Both sexes,27.4
Youth share of population (%),Ngoma,District,Eastern Province,Urban,Male,26.8
Youth share of population (%),Ngoma,District,Eastern Province,Urban,Female,28.0
Youth share of population (%),Ngoma,District,Eastern Province,Rural,Both sexes,24.4
Youth share of population (%),Ngoma,District,Eastern Province,Rural,Male,24.7
Youth share of population (%),Ngoma,District,Eastern Province,Rural,Female,24.1
Youth share of population (%),Bugesera,District,Eastern Province,Rwanda,Both sexes,26.3
Youth share of population (%),Bugesera,District,Eastern Province,Rwanda,Male,26.4
Youth share of population (%),Bugesera,District,Eastern Province,Rwanda,Female,26.2
Youth share of population (%),Bugesera,District,Eastern Province,Urban,Both sexes,29.3
Youth share of population (%),Bugesera,District,Eastern Province,Urban,Male,28.8
Youth share of population (%),Bugesera,District,Eastern Province,Urban,Female,29.8
Youth share of population (%),Bugesera,District,Eastern Province,Rural,Both sexes,24.2
Youth share of population (%),Bugesera,District,Eastern Province,Rural,Male,24.7
Youth share of population (%),Bugesera,District,Eastern Province,Rural,Female,23.8
