age_group,province,residence,sex,value
Population 16 years and above,Southern Province,Rural,Male,8.7
Population 16 years and above,Southern Province,Rural,Female,5.2
Population 16 years and above,Western Province,Rwanda,Male,14.5
Population 16 years and above,Western Province,Rwanda,Female,8.1
Population 16 years and above,Western Province,Urban,Male,31.4
Population 16 years and above,Western Province,Urban,Female,21.0
Population 16 years and above,Western Province,Rural,Male,9.4
Population 16 years and above,Western Province,Rural,Female,4.5
Population 16 years and above,Northern Province,Rwanda,Male,14.1
Population 16 years and above,Northern Province,Rwanda,Female,8.2
Population 16 years and above,Northern Province,Urban,Male,33.7
Population 16 years and above,Northern Province,Urban,Female,23.7
Population 16 years and above,Northern Province,Rural,Male,9.9
Population 16 years and above,Northern Province,Rural,Female,5.0
Population 16 years and above,Eastern Province,Rwanda,Male,15.5
Population 16 years and above,Eastern Province,Rwanda,Female,9.3
Population 16 years and above,Eastern Province,Urban,Male,31.6
Population 16 years and above,Eastern Province,Urban,Female,22.7
Population 16 years and above,Eastern Province,Rural,Male,11.1
Population 16 years and above,Eastern Province,Rural,Female,5.7
Population 21 years and above,Total,Rwanda,Male,21.3
Population 21 years and above,Total,Rwanda,Female,13.1
Population 21 years and above,Total,Urban,Male,44.9
Population 21 years and above,Total,Urban,Female,34.2
Population 21 years and above,Total,Rural,Male,10.3
Population 21 years and above,Total,Rural,Female,4.9
Population 21 years and above,City of Kigali,Rwanda,Male,51.5
Population 21 years and above,City of Kigali,Rwanda,Female,42.5
Population 21 years and above,City of Kigali,Urban,Male,55.3
Population 21 years and above,City of Kigali,Urban,Female,46.7
Population 21 years and above,City of Kigali,Rural,Male,16.9
Population 21 years and above,City of Kigali,Rural,Female,9.5
Population 21 years and above,Southern Province,Rwanda,Male,13.6
Population 21 years and above,Southern Province,Rwanda,Female,8.4
Population 21 years and above,Southern Province,Urban,Male,39.4
Population 21 years and above,Southern Province,Urban,Female,30.6
Population 21 years and above,Southern Province,Rural,Male,8.9
Population 21 years and above,Southern Province,Rural,Female,4.7
Population 21 years and above,Western Province,Rwanda,Male,15.5
Population 21 years and above,Western Province,Rwanda,Female,8.0
Population 21 years and above,Western Province,Urban,Male,33.8
Population 21 years and above,Western Province,Urban,Female,21.6
Population 21 years and above,Western Province,Rural,Male,10.0
Population 21 years and above,Western Province,Rural,Female,4.2
Population 21 years and above,Northern Province,Rwanda,Male,15.0
Population 21 years and above,Northern Province,Rwanda,Female,8.2
Population 21 years and above,Northern Province,Urban,Male,36.2
Population 21 years and above,Northern Province,Urban,Female,24.9
Population 21 years and above,Northern Province,Rural,Male,10.4
Population 21 years and above,Northern Province,Rural,Female,4.7
Population 21 years and above,Eastern Province,Rwanda,Male,16.2
Population 21 years and above,Eastern Province,Rwanda,Female,9.1
Population 21 years and above,Eastern Province,Urban,Male,33.5
Population 21 years and above,Eastern Province,Urban,Female,23.7
Population 21 years and above,Eastern Province,Rural,Male,11.4
Population 21 years and above,Eastern Province,Rural,Female,5.3
