group,year,sex,count,pct,level
Total number of students,2017,Male,49908.0,0.547,Higher Education
Total number of students,2017,Female,41285.0,0.453,Higher Education
Total number of students,2018,Male,51119.0,0.573,Higher Education
Total number of students,2018,Female,38041.0,0.427,Higher Education
Total number of students,2019,Male,49090.0,0.569,Higher Education
Total number of students,2019,Female,37116.0,0.431,Higher Education
Total number of students,2020/21,Male,48757.0,0.551,Higher Education
Total number of students,2020/21,Female,39691.0,0.449,Higher Education
Total number of students,2021/22,Male,53771.0,0.561,Higher Education
Total number of students,2021/22,Female,42092.0,0.439,Higher Education
Total number of students,2022/23,Male,66856.0,0.558,Higher Education
Total number of students,2022/23,Female,52860.0,0.442,Higher Education
Students in Public HEIs,2017,Male,25518.0,0.661,Higher Education
Students in Public HEIs,2017,Female,13077.0,0.339,Higher Education
Students in Public HEIs,2018,Male,26247.0,0.685,Higher Education
Students in Public HEIs,2018,Female,12091.0,0.315,Higher Education
Students in Public HEIs,2019,Male,24364.0,0.682,Higher Education
Students in Public HEIs,2019,Female,11355.0,0.318,Higher Education
Students in Public HEIs,2020/21,Male,24657.0,0.663,Higher Education
Students in Public HEIs,2020/21,Female,12520.0,0.337,Higher Education
Students in Public HEIs,2021/22,Male,27373.0,0.64,Higher Education
Students in Public HEIs,2021/22,Female,15380.0,0.36,Higher Education
Students in Public HEIs,2022/23,Male,26904.0,0.636,Higher Education
Students in Public HEIs,2022/23,Female,15430.0,0.364,Higher Education
Students in Private HEIs,2017,Male,24390.0,0.464,Higher Education
Students in Private HEIs,2017,Female,28208.0,0.536,Higher Education
Students in Private HEIs,2018,Male,24872.0,0.489,Higher Education
Students in Private HEIs,2018,Female,25950.0,0.511,Higher Education
Students in Private HEIs,2019,Male,24726.0,0.49,Higher Education
Students in Private HEIs,2019,Female,25761.0,0.51,Higher Education
Students in Private HEIs,2020/21,Male,24100.0,0.47,Higher Education
Students in Private HEIs,2020/21,Female,27171.0,0.53,Higher Education
Students in Private HEIs,2021/22,Male,26398.0,0.497,Higher Education
Students in Private HEIs,2021/22,Female,26712.0,0.503,Higher Education
Students in Private HEIs,2022/23,Male,39952.0,0.516,Higher Education
Students in Private HEIs,2022/23,Female,37430.0,0.484,Higher Education
Total learners,2017,Male,61556.0,0.405,Adult Literacy
Total learners,2017,Female,90459.0,0.595,Adult Literacy
Total learners,2018,Male,51220.0,0.387,Adult Literacy
Total learners,2018,Female,81145.0,0.613,Adult Literacy
Total learners,2019,Male,49096.0,0.386,Adult Literacy
Total learners,2019,Female,78021.0,0.614,Adult Literacy
Total learners,2020/21,Male,44776.0,0.352,Adult Literacy
Total learners,2020/21,Female,82278.0,0.648,Adult Literacy
Total learners,2021/22,Male,44097.0,0.38,Adult Literacy
Total learners,2021/22,Female,71931.0,0.62,Adult Literacy
Total learners,2022/23,Male,38700.0,0.35440858639510603,Adult Literacy
Total learners,2022/23,Female,70496.0,0.6455914136048939,Adult Literacy
Learners in Public centers,2017,Male,17431.0,,Adult Literacy
Learners in Public centers,2017,Female,26360.0,,Adult Literacy
Learners in Public centers,2018,Male,14169.0,,Adult Literacy
Learners in Public centers,2018,Female,22851.0,,Adult Literacy
Learners in Public centers,2019,Male,16312.0,,Adult Literacy
Learners in Public centers,2019,Female,25426.0,,Adult Literacy
Learners in Public centers,2020/21,Male,19468.0,,Adult Literacy
Learners in Public centers,2020/21,Female,34853.0,,Adult Literacy
Learners in Public centers,2021/22,Male,22593.0,,Adult Literacy
Learners in Public centers,2021/22,Female,32559.0,,Adult Literacy
Learners in Public centers,2022/23,Male,16983.0,,Adult Literacy
Learners in Public centers,2022/23,Female,30319.0,,Adult Literacy
Learners in Government-subsidized centers,2017,Male,29226.0,,Adult Literacy
Learners in Government-subsidized centers,2017,Female,43955.0,,Adult Literacy
Learners in Government-subsidized centers,2018,Male,30020.0,,Adult Literacy
Learners in Government-subsidized centers,2018,Female,47239.0,,Adult Literacy
Learners in Government-subsidized centers,2019,Male,24068.0,,Adult Literacy
Learners in Government-subsidized centers,2019,Female,38750.0,,Adult Literacy
Learners in Government-subsidized centers,2020/21,Male,20718.0,,Adult Literacy
Learners in Government-subsidized centers,2020/21,Female,38329.0,,Adult Literacy
Learners in Government-subsidized centers,2021/22,Male,19508.0,,Adult Literacy
Learners in Government-subsidized centers,2021/22,Female,34872.0,,Adult Literacy
Learners in Government-subsidized centers,2022/23,Male,20151.0,,Adult Literacy
Learners in Government-subsidized centers,2022/23,Female,36488.0,,Adult Literacy
Learners in Private centers,2017,Male,14899.0,,Adult Literacy
Learners in Private centers,2017,Female,20144.0,,Adult Literacy
Learners in Private centers,2018,Male,7031.0,,Adult Literacy
Learners in Private centers,2018,Female,11055.0,,Adult Literacy
Learners in Private centers,2019,Male,8716.0,,Adult Literacy
Learners in Private centers,2019,Female,13845.0,,Adult Literacy
Learners in Private centers,2020/21,Male,4590.0,,Adult Literacy
Learners in Private centers,2020/21,Female,9096.0,,Adult Literacy
Learners in Private centers,2021/22,Male,1996.0,,Adult Literacy
Learners in Private centers,2021/22,Female,4500.0,,Adult Literacy
Learners in Private centers,2022/23,Male,1566.0,,Adult Literacy
Learners in Private centers,2022/23,Female,3689.0,,Adult Literacy
