location,province,geo_type,year,count,level
Kigali City,Kigali City,Province,2021/22,4521.0,Primary
Kigali City,Kigali City,Province,2022/23,5227.0,Primary
Rwanda,Rwanda,National,2021/22,46010.0,Primary
Rwanda,Rwanda,National,2022/23,49561.0,Primary
Gisagara,South,District,2021/22,599.0,Secondary
Gisagara,South,District,2022/23,608.0,Secondary
Huye,South,District,2021/22,631.0,Secondary
Huye,South,District,2022/23,640.0,Secondary
Kamonyi,South,District,2021/22,723.0,Secondary
Kamonyi,South,District,2022/23,740.0,Secondary
Muhanga,South,District,2021/22,722.0,Secondary
Muhanga,South,District,2022/23,756.0,Secondary
Nyamagabe,South,District,2021/22,712.0,Secondary
Nyamagabe,South,District,2022/23,736.0,Secondary
Nyanza,South,District,2021/22,630.0,Secondary
Nyanza,South,District,2022/23,653.0,Secondary
Nyaruguru,South,District,2021/22,574.0,Secondary
Nyaruguru,South,District,2022/23,598.0,Secondary
Ruhango,South,District,2021/22,670.0,Secondary
Ruhango,South,District,2022/23,698.0,Secondary
South,South,Province,2021/22,5261.0,Secondary
South,South,Province,2022/23,5429.0,Secondary
Karongi,West,District,2021/22,742.0,Secondary
Karongi,West,District,2022/23,764.0,Secondary
Ngororero,West,District,2021/22,458.0,Secondary
Ngororero,West,District,2022/23,498.0,Secondary
Nyabihu,West,District,2021/22,549.0,Secondary
Nyabihu,West,District,2022/23,546.0,Secondary
Nyamasheke,West,District,2021/22,769.0,Secondary
Nyamasheke,West,District,2022/23,798.0,Secondary
Rubavu,West,District,2021/22,663.0,Secondary
Rubavu,West,District,2022/23,699.0,Secondary
Rusizi,West,District,2021/22,748.0,Secondary
Rusizi,West,District,2022/23,783.0,Secondary
Rutsiro,West,District,2021/22,582.0,Secondary
Rutsiro,West,District,2022/23,575.0,Secondary
West,West,Province,2021/22,4511.0,Secondary
West,West,Province,2022/23,4663.0,Secondary
Bugesera,East,District,2021/22,723.0,Secondary
Bugesera,East,District,2022/23,749.0,Secondary
Gatsibo,East,District,2021/22,896.0,Secondary
Gatsibo,East,District,2022/23,928.0,Secondary
Kayonza,East,District,2021/22,682.0,Secondary
Kayonza,East,District,2022/23,709.0,Secondary
Kirehe,East,District,2021/22,623.0,Secondary
Kirehe,East,District,2022/23,669.0,Secondary
Ngoma,East,District,2021/22,591.0,Secondary
Ngoma,East,District,2022/23,593.0,Secondary
Nyagatare,East,District,2021/22,933.0,Secondary
Nyagatare,East,District,2022/23,969.0,Secondary
Rwamagana,East,District,2021/22,729.0,Secondary
Rwamagana,East,District,2022/23,756.0,Secondary
East,East,Province,2021/22,5177.0,Secondary
East,East,Province,2022/23,5373.0,Secondary
Burera,North,District,2021/22,612.0,Secondary
Burera,North,District,2022/23,650.0,Secondary
Gakenke,North,District,2021/22,594.0,Secondary
Gakenke,North,District,2022/23,632.0,Secondary
Gicumbi,North,District,2021/22,843.0,Secondary
Gicumbi,North,District,2022/23,847.0,Secondary
Musanze,North,District,2021/22,669.0,Secondary
Musanze,North,District,2022/23,686.0,Secondary
Rulindo,North,District,2021/22,611.0,Secondary
Rulindo,North,District,2022/23,636.0,Secondary
North,North,Province,2021/22,3329.0,Secondary
North,North,Province,2022/23,3451.0,Secondary
Gasabo,Kigali City,District,2021/22,717.0,Secondary
Gasabo,Kigali City,District,2022/23,806.0,Secondary
Kicukiro,Kigali City,District,2021/22,522.0,Secondary
Kicukiro,Kigali City,District,2022/23,509.0,Secondary
Nyarugenge,Kigali City,District,2021/22,448.0,Secondary
Nyarugenge,Kigali City,District,2022/23,464.0,Secondary
Kigali City,Kigali City,Province,2021/22,1687.0,Secondary
Kigali City,Kigali City,Province,2022/23,1779.0,Secondary
Rwanda,Rwanda,National,2021/22,19965.0,Secondary
Rwanda,Rwanda,National,2022/23,20695.0,Secondary
Gisagara,South,District,2021/22,75.0,TVET
Gisagara,South,District,2022/23,89.0,TVET
Huye,South,District,2021/22,89.0,TVET
Huye,South,District,2022/23,102.0,TVET
Kamonyi,South,District,2021/22,71.0,TVET
Kamonyi,South,District,2022/23,92.0,TVET
Muhanga,South,District,2021/22,185.0,TVET
Muhanga,South,District,2022/23,191.0,TVET
Nyamagabe,South,District,2021/22,99.0,TVET
Nyamagabe,South,District,2022/23,128.0,TVET
Nyanza,South,District,2021/22,183.0,TVET
Nyanza,South,District,2022/23,193.0,TVET
Nyaruguru,South,District,2021/22,72.0,TVET
Nyaruguru,South,District,2022/23,83.0,TVET
Ruhango,South,District,2021/22,219.0,TVET
Ruhango,South,District,2022/23,261.0,TVET
South,South,Province,2021/22,993.0,TVET
South,South,Province,2022/23,1139.0,TVET
Karongi,West,District,2021/22,101.0,TVET
Karongi,West,District,2022/23,105.0,TVET
Ngororero,West,District,2021/22,87.0,TVET
Ngororero,West,District,2022/23,100.0,TVET
Nyabihu,West,District,2021/22,81.0,TVET
Nyabihu,West,District,2022/23,100.0,TVET
Nyamasheke,West,District,2021/22,80.0,TVET
Nyamasheke,West,District,2022/23,90.0,TVET
Rubavu,West,District,2021/22,131.0,TVET
Rubavu,West,District,2022/23,130.0,TVET
Rusizi,West,District,2021/22,105.0,TVET
Rusizi,West,District,2022/23,134.0,TVET
Rutsiro,West,District,2021/22,59.0,TVET
Rutsiro,West,District,2022/23,66.0,TVET
West,West,Province,2021/22,644.0,TVET
West,West,Province,2022/23,725.0,TVET
Bugesera,East,District,2021/22,85.0,TVET
Bugesera,East,District,2022/23,107.0,TVET
Gatsibo,East,District,2021/22,126.0,TVET
Gatsibo,East,District,2022/23,158.0,TVET
Kayonza,East,District,2021/22,99.0,TVET
Kayonza,East,District,2022/23,98.0,TVET
Kirehe,East,District,2021/22,87.0,TVET
Kirehe,East,District,2022/23,92.0,TVET
Ngoma,East,District,2021/22,109.0,TVET
Ngoma,East,District,2022/23,115.0,TVET
Nyagatare,East,District,2021/22,72.0,TVET
Nyagatare,East,District,2022/23,93.0,TVET
Rwamagana,East,District,2021/22,99.0,TVET
Rwamagana,East,District,2022/23,117.0,TVET
East,East,Province,2021/22,677.0,TVET
East,East,Province,2022/23,780.0,TVET
Burera,North,District,2021/22,90.0,TVET
Burera,North,District,2022/23,106.0,TVET
Gakenke,North,District,2021/22,98.0,TVET
Gakenke,North,District,2022/23,108.0,TVET
Gicumbi,North,District,2021/22,110.0,TVET
Gicumbi,North,District,2022/23,129.0,TVET
Musanze,North,District,2021/22,141.0,TVET
Musanze,North,District,2022/23,161.0,TVET
Rulindo,North,District,2021/22,131.0,TVET
Rulindo,North,District,2022/23,142.0,TVET
North,North,Province,2021/22,570.0,TVET
North,North,Province,2022/23,646.0,TVET
Gasabo,Kigali City,District,2021/22,113.0,TVET
Gasabo,Kigali City,District,2022/23,146.0,TVET
Kicukiro,Kigali City,District,2021/22,186.0,TVET
Kicukiro,Kigali City,District,2022/23,182.0,TVET
Nyarugenge,Kigali City,District,2021/22,113.0,TVET
Nyarugenge,Kigali City,District,2022/23,137.0,TVET
Kigali City,Kigali City,Province,2021/22,412.0,TVET
Kigali City,Kigali City,Province,2022/23,461.0,TVET
Rwanda,Rwanda,National,2021/22,3296.0,TVET
Rwanda,Rwanda,National,2022/23,3751.0,TVET
