grade,sex,year,value,metric
P1,Male,2019/20,0.163,Repetition Rate
P1,Male,2020/21,0.322,Repetition Rate
P1,Male,2021/22,0.356,Repetition Rate
P1,Female,2016/17,0.21,Repetition Rate
P1,Female,2017/18,0.196,Repetition Rate
P1,Female,2018/19,0.143,Repetition Rate
P1,Female,2019/20,0.157,Repetition Rate
P1,Female,2020/21,0.274,Repetition Rate
P1,Female,2021/22,0.322,Repetition Rate
P2,Total,2016/17,0.161,Repetition Rate
P2,Total,2017/18,0.137,Repetition Rate
P2,Total,2018/19,0.104,Repetition Rate
P2,Total,2019/20,0.117,Repetition Rate
P2,Total,2020/21,0.23,Repetition Rate
P2,Total,2021/22,0.275,Repetition Rate
P2,Male,2016/17,0.172,Repetition Rate
P2,Male,2017/18,0.146,Repetition Rate
P2,Male,2018/19,0.112,Repetition Rate
P2,Male,2019/20,0.122,Repetition Rate
P2,Male,2020/21,0.256,Repetition Rate
P2,Male,2021/22,0.294,Repetition Rate
P2,Female,2016/17,0.149,Repetition Rate
P2,Female,2017/18,0.127,Repetition Rate
P2,Female,2018/19,0.097,Repetition Rate
P2,Female,2019/20,0.112,Repetition Rate
P2,Female,2020/21,0.202,Repetition Rate
P2,Female,2021/22,0.238,Repetition Rate
P3,Total,2016/17,0.128,Repetition Rate
P3,Total,2017/18,0.123,Repetition Rate
P3,Total,2018/19,0.092,Repetition Rate
P3,Total,2019/20,0.106,Repetition Rate
P3,Total,2020/21,0.201,Repetition Rate
P3,Total,2021/22,0.237,Repetition Rate
P3,Male,2016/17,0.15,Repetition Rate
P3,Male,2017/18,0.133,Repetition Rate
P3,Male,2018/19,0.1,Repetition Rate
P3,Male,2019/20,0.112,Repetition Rate
P3,Male,2020/21,0.225,Repetition Rate
P3,Male,2021/22,0.259,Repetition Rate
P3,Female,2016/17,0.107,Repetition Rate
P3,Female,2017/18,0.112,Repetition Rate
P3,Female,2018/19,0.083,Repetition Rate
P3,Female,2019/20,0.1,Repetition Rate
P3,Female,2020/21,0.177,Repetition Rate
P3,Female,2021/22,0.188,Repetition Rate
P4,Total,2016/17,0.131,Repetition Rate
P4,Total,2017/18,0.123,Repetition Rate
P4,Total,2018/19,0.093,Repetition Rate
P4,Total,2019/20,0.103,Repetition Rate
P4,Total,2020/21,0.21,Repetition Rate
P4,Total,2021/22,0.28,Repetition Rate
P4,Male,2016/17,0.152,Repetition Rate
P4,Male,2017/18,0.133,Repetition Rate
P4,Male,2018/19,0.102,Repetition Rate
P4,Male,2019/20,0.109,Repetition Rate
P4,Male,2020/21,0.232,Repetition Rate
P4,Male,2021/22,0.297,Repetition Rate
P4,Female,2016/17,0.11,Repetition Rate
P4,Female,2017/18,0.113,Repetition Rate
P4,Female,2018/19,0.084,Repetition Rate
P4,Female,2019/20,0.096,Repetition Rate
P4,Female,2020/21,0.188,Repetition Rate
P4,Female,2021/22,0.239,Repetition Rate
P5,Total,2016/17,0.182,Repetition Rate
P5,Total,2017/18,0.14,Repetition Rate
P5,Total,2018/19,0.107,Repetition Rate
P5,Total,2019/20,0.116,Repetition Rate
P5,Total,2020/21,0.247,Repetition Rate
P5,Total,2021/22,0.331,Repetition Rate
P5,Male,2016/17,0.185,Repetition Rate
P5,Male,2017/18,0.148,Repetition Rate
P5,Male,2018/19,0.116,Repetition Rate
P5,Male,2019/20,0.123,Repetition Rate
P5,Male,2020/21,0.265,Repetition Rate
P5,Male,2021/22,0.346,Repetition Rate
P5,Female,2016/17,0.18,Repetition Rate
P5,Female,2017/18,0.133,Repetition Rate
P5,Female,2018/19,0.099,Repetition Rate
P5,Female,2019/20,0.11,Repetition Rate
P5,Female,2020/21,0.23,Repetition Rate
P5,Female,2021/22,0.302,Repetition Rate
P6,Total,2016/17,0.101,Repetition Rate
P6,Total,2017/18,0.015,Repetition Rate
P6,Total,2018/19,0.011,Repetition Rate
P6,Total,2019/20,0.012,Repetition Rate
P6,Total,2020/21,0.052,Repetition Rate
P6,Total,2021/22,0.033,Repetition Rate
P6,Male,2016/17,0.145,Repetition Rate
P6,Male,2017/18,0.015,Repetition Rate
P6,Male,2018/19,0.011,Repetition Rate
P6,Male,2019/20,0.012,Repetition Rate
P6,Male,2020/21,0.055,Repetition Rate
P6,Male,2021/22,0.034,Repetition Rate
P6,Female,2016/17,0.057,Repetition Rate
P6,Female,2017/18,0.015,Repetition Rate
P6,Female,2018/19,0.011,Repetition Rate
P6,Female,2019/20,0.012,Repetition Rate
P6,Female,2020/21,0.049,Repetition Rate
P6,Female,2021/22,0.033,Repetition Rate
S1,Total,2016/17,0.077,Repetition Rate
S1,Total,2017/18,0.06,Repetition Rate
S1,Total,2018/19,0.052,Repetition Rate
S1,Total,2019/20,0.099,Repetition Rate
S1,Total,2020/21,0.139,Repetition Rate
S1,Total,2021/22,0.18,Repetition Rate
S1,Male,2016/17,0.08,Repetition Rate
S1,Male,2017/18,0.064,Repetition Rate
S1,Male,2018/19,0.059,Repetition Rate
S1,Male,2019/20,0.105,Repetition Rate
S1,Male,2020/21,0.155,Repetition Rate
S1,Male,2021/22,0.195,Repetition Rate
S1,Female,2016/17,0.075,Repetition Rate
S1,Female,2017/18,0.056,Repetition Rate
S1,Female,2018/19,0.046,Repetition Rate
S1,Female,2019/20,0.094,Repetition Rate
S1,Female,2020/21,0.124,Repetition Rate
S1,Female,2021/22,0.167,Repetition Rate
S2,Total,2016/17,0.07,Repetition Rate
