year,quarter,group,indicator,value
2024,Q4,Youth (16-30),LU1-Unemployment rate (%),17.984570446320724
2025,Q1,Youth (16-30),LU1-Unemployment rate (%),13.571987709512687
2025,Q2,Youth (16-30),LU1-Unemployment rate (%),15.442275442595932
2025,Q3,Youth (16-30),LU1-Unemployment rate (%),15.542518385471261
2025,Q4,Youth (16-30),LU1-Unemployment rate (%),14.125172401899636
2019,Q1,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),43.8808164614834
2019,Q2,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),39.9746925085656
2019,Q3,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),42.446621086573295
2019,Q4,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),39.49447958333446
2020,Q1,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),45.78778692424039
2020,Q2,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),0.0
2020,Q3,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),43.47821933586073
2020,Q4,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),50.13171207165272
2021,Q1,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),47.886870535834134
2021,Q2,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),52.107946901384665
2021,Q3,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),48.908595534888455
2021,Q4,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),52.04458712088653
2022,Q1,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),45.50096894104122
2022,Q2,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),50.52626224243969
2022,Q3,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),50.56914367058099
2022,Q4,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),51.93036063272677
2023,Q1,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),43.86846131531653
2023,Q2,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),44.632702833584325
2023,Q3,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),45.566439666335306
2023,Q4,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),44.17447644638915
2024,Q1,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),41.11687970286178
2024,Q2,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),45.60195577231799
2024,Q3,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),47.913522658607164
2024,Q4,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),46.59436952092372
2025,Q1,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),43.86906783536713
2025,Q2,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),45.92288104712583
2025,Q3,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),45.83759590761443
2025,Q4,Youth (16-30),LU2-Combined rate of unemployment and time-related underemployment(%),45.674392524676435
2019,Q1,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),42.72581525372299
2019,Q2,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),41.502795975546086
2019,Q3,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),43.9940966666602
2019,Q4,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),42.742405283093305
2020,Q1,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),39.89107412720979
2020,Q2,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),27.157384668080354
2020,Q3,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),43.843359740493185
2020,Q4,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),43.60759923807734
2021,Q1,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),44.14548539498684
2021,Q2,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),43.317319226313856
2021,Q3,Youth (16-30),LU3-Combined rate of unemployment and potential labour force(%),49.27419222261222
