year,quarter,sex,indicator,value
2019,Q3,Male,Out of labour force (Inactivity rate(%)),38.1216901476615
2019,Q4,Male,Out of labour force (Inactivity rate(%)),35.77786137551138
2020,Q1,Male,Out of labour force (Inactivity rate(%)),36.0440589417247
2020,Q2,Male,Out of labour force (Inactivity rate(%)),35.66388348049476
2020,Q3,Male,Out of labour force (Inactivity rate(%)),31.10590947251018
2020,Q4,Male,Out of labour force (Inactivity rate(%)),34.90054997461189
2021,Q1,Male,Out of labour force (Inactivity rate(%)),42.17420667543204
2021,Q2,Male,Out of labour force (Inactivity rate(%)),38.661440394024666
2021,Q3,Male,Out of labour force (Inactivity rate(%)),40.032916442214535
2021,Q4,Male,Out of labour force (Inactivity rate(%)),31.381221361334557
2022,Q1,Male,Out of labour force (Inactivity rate(%)),38.17801970273816
2022,Q2,Male,Out of labour force (Inactivity rate(%)),37.31953924832695
2022,Q3,Male,Out of labour force (Inactivity rate(%)),34.37256662226099
2022,Q4,Male,Out of labour force (Inactivity rate(%)),33.66171219513326
2023,Q1,Male,Out of labour force (Inactivity rate(%)),34.7775508127321
2023,Q2,Male,Out of labour force (Inactivity rate(%)),32.93606010079397
2023,Q3,Male,Out of labour force (Inactivity rate(%)),30.493981880371038
2023,Q4,Male,Out of labour force (Inactivity rate(%)),32.57701346720328
2024,Q1,Male,Out of labour force (Inactivity rate(%)),31.203391292539973
2024,Q2,Male,Out of labour force (Inactivity rate(%)),29.67744106034404
2024,Q3,Male,Out of labour force (Inactivity rate(%)),26.483707263825245
2024,Q4,Male,Out of labour force (Inactivity rate(%)),28.136539778015344
2025,Q1,Male,Out of labour force (Inactivity rate(%)),30.118135780279925
2025,Q2,Male,Out of labour force (Inactivity rate(%)),30.043274301803926
2025,Q3,Male,Out of labour force (Inactivity rate(%)),25.584469356350013
2025,Q4,Male,Out of labour force (Inactivity rate(%)),28.846829226051902
2019,Q1,Male,Time related underemployment rate(%),25.170485038519534
2019,Q2,Male,Time related underemployment rate(%),23.32860173974882
2019,Q3,Male,Time related underemployment rate(%),24.696770018355767
2019,Q4,Male,Time related underemployment rate(%),21.125879853365213
2020,Q1,Male,Time related underemployment rate(%),28.886755895810154
2020,Q2,Male,Time related underemployment rate(%),0.0
