year,quarter,sex,education,value
2021,Q3,All,Lower secondary,6.797444441577485
2021,Q4,All,Lower secondary,5.872551193613166
2022,Q1,All,Lower secondary,6.096406025492086
2022,Q2,All,Lower secondary,6.065032593576166
2022,Q3,All,Lower secondary,6.6073267006825285
2022,Q4,All,Lower secondary,5.945986441398007
2023,Q1,All,Lower secondary,5.9898066472915295
2023,Q2,All,Lower secondary,6.435117092912572
2023,Q3,All,Lower secondary,7.021027324249375
2023,Q4,All,Lower secondary,6.824408737601469
2024,Q1,All,Lower secondary,6.406760139278567
2024,Q2,All,Lower secondary,6.485912339850473
2024,Q3,All,Lower secondary,8.201173231683649
2024,Q4,All,Lower secondary,6.669792860577428
2025,Q1,All,Lower secondary,6.972160907946594
2025,Q2,All,Lower secondary,6.8725094382492244
2025,Q3,All,Lower secondary,8.956617559585176
2025,Q4,All,Lower secondary,7.026383543045091
2019,Q1,All,Upper secondary,8.465658132765732
2019,Q2,All,Upper secondary,9.008418849361957
2019,Q3,All,Upper secondary,9.282310291806867
2019,Q4,All,Upper secondary,9.251113851292152
2020,Q1,All,Upper secondary,9.05102728161426
2020,Q2,All,Upper secondary,9.724198507872863
2020,Q3,All,Upper secondary,10.694359869390906
2020,Q4,All,Upper secondary,9.73142249980603
2021,Q1,All,Upper secondary,8.818345330919541
2021,Q2,All,Upper secondary,10.793621967222888
2021,Q3,All,Upper secondary,9.270261534161037
2021,Q4,All,Upper secondary,9.543435650594178
2022,Q1,All,Upper secondary,8.54361116818661
2022,Q2,All,Upper secondary,9.058952967731681
2022,Q3,All,Upper secondary,8.113543705989171
2022,Q4,All,Upper secondary,9.934413798702538
2023,Q1,All,Upper secondary,8.704287220454148
2023,Q2,All,Upper secondary,8.849052595389969
2023,Q3,All,Upper secondary,8.734744129604623
2023,Q4,All,Upper secondary,9.633959459488114
2024,Q1,All,Upper secondary,10.117083368394335
2024,Q2,All,Upper secondary,10.586271092771417
2024,Q3,All,Upper secondary,10.624067136240402
2024,Q4,All,Upper secondary,10.680554630655827
2025,Q1,All,Upper secondary,10.083840750449555
2025,Q2,All,Upper secondary,10.335377238397701
2025,Q3,All,Upper secondary,10.93813914425726
2025,Q4,All,Upper secondary,10.967750941892806
2019,Q1,All,University/Higher,6.43438364426767
2019,Q2,All,University/Higher,7.584210225036797
2019,Q3,All,University/Higher,7.261702770742017
2019,Q4,All,University/Higher,7.213933658074585
2020,Q1,All,University/Higher,7.767563064644426
2020,Q2,All,University/Higher,7.152030595048265
2020,Q3,All,University/Higher,6.416731119924693
2020,Q4,All,University/Higher,7.713964238820992
2021,Q1,All,University/Higher,6.417056022453964
2021,Q2,All,University/Higher,7.856641185345296
2021,Q3,All,University/Higher,6.924291277166876
2021,Q4,All,University/Higher,7.054757163368976
2022,Q1,All,University/Higher,6.3462290567692525
2022,Q2,All,University/Higher,7.195038249655244
2022,Q3,All,University/Higher,7.253690865989521
2022,Q4,All,University/Higher,6.8026269382304365
2023,Q1,All,University/Higher,5.463739251826645
2023,Q2,All,University/Higher,5.475076572975393
2023,Q3,All,University/Higher,6.11845359772276
2023,Q4,All,University/Higher,6.7801902514262995
2024,Q1,All,University/Higher,6.274800152402943
2024,Q2,All,University/Higher,6.192204029808331
2024,Q3,All,University/Higher,5.4484786537360455
2024,Q4,All,University/Higher,5.44507081396781
2025,Q1,All,University/Higher,5.0037717742020495
2025,Q2,All,University/Higher,5.397463772405671
2025,Q3,All,University/Higher,5.344295023900443
2025,Q4,All,University/Higher,5.691190692936857
2019,Q1,Male,_n_employed,1778662.6736539411
2019,Q2,Male,_n_employed,1841887.9596653895
2019,Q3,Male,_n_employed,1792066.6859785137
2019,Q4,Male,_n_employed,1898636.1830800027
2020,Q1,Male,_n_employed,1945486.644110547
2020,Q2,Male,_n_employed,1808329.9189567566
2020,Q3,Male,_n_employed,2113800.9512634277
2020,Q4,Male,_n_employed,1885454.2991530132
2021,Q1,Male,_n_employed,1748038.1011924744
2021,Q2,Male,_n_employed,1776461.1348571777
2021,Q3,Male,_n_employed,1813058.2206611633
2021,Q4,Male,_n_employed,2002299.1304745674
2022,Q1,Male,_n_employed,1949118.9244995117
2022,Q2,Male,_n_employed,1875695.9197235107
2022,Q3,Male,_n_employed,2095381.0767530852
2022,Q4,Male,_n_employed,1990619.8827268202
2023,Q1,Male,_n_employed,2059803.1013069153
2023,Q2,Male,_n_employed,2175512.2425308228
2023,Q3,Male,_n_employed,2248639.8181419373
2023,Q4,Male,_n_employed,2222880.141635895
2024,Q1,Male,_n_employed,2346249.8633270264
2024,Q2,Male,_n_employed,2347795.0636138916
2024,Q3,Male,_n_employed,2519344.8046875
2024,Q4,Male,_n_employed,2489254.5567474365
2025,Q1,Male,_n_employed,2502420.954284668
2025,Q2,Male,_n_employed,2470663.182373047
2025,Q3,Male,_n_employed,2666343.2031784058
2025,Q4,Male,_n_employed,2588345.9426498413
2019,Q1,Male,No schooling,49.02676256052435
2019,Q2,Male,No schooling,45.889056171459956
2019,Q3,Male,No schooling,47.58587968043516
2019,Q4,Male,No schooling,44.58333705022079
2020,Q1,Male,No schooling,47.97440113010465
2020,Q2,Male,No schooling,40.580317512233805
2020,Q3,Male,No schooling,41.73108734508794
2020,Q4,Male,No schooling,46.67688394220679
2021,Q1,Male,No schooling,45.75974397293317
